episode,reward,shortage,wastage,epsilon
1,-1415.2500000000005,1415.2500000000005,0.0,0.995
2,-1457.8125000000002,1457.8125000000002,0.0,0.990025
3,-1483.3100223541262,1483.3100223541262,0.0,0.985074875
4,-1534.3773363171908,1534.3773363171908,0.0,0.9801495006250001
5,-1424.0625,1424.0625,0.0,0.9752487531218751
6,-1360.3580729166663,1360.3580729166663,0.0,0.9703725093562657
7,-1457.8510335286462,1457.8510335286462,0.0,0.9655206468094844
8,-1366.3057078854013,1366.3057078854013,0.0,0.960693043575437
9,-1446.6860622869183,1446.6860622869183,0.0,0.9558895783575597
10,-1511.0100911458328,1511.0100911458328,0.0,0.9511101304657719
11,-1367.8043981481485,1367.8043981481485,0.0,0.946354579813443
12,-1492.5323641173272,1492.5323641173272,0.0,0.9416228069143757
13,-1464.0,1464.0,0.0,0.9369146928798039
14,-1255.173828125,1255.173828125,0.0,0.9322301194154049
15,-1412.0285799080543,1411.0285799080543,1.0,0.9275689688183278
16,-1280.0243055555554,1280.0243055555554,0.0,0.9229311239742362
17,-1540.692752076415,1540.692752076415,0.0,0.918316468354365
18,-1532.5703125000002,1532.5703125000002,0.0,0.9137248860125932
19,-1357.3958333333333,1357.3958333333333,0.0,0.9091562615825302
20,-1411.000000000001,1405.0000000000007,6.0,0.9046104802746175
21,-1211.4999999999995,1209.4999999999995,2.0,0.9000874278732445
22,-1176.3678855895996,1176.3678855895996,0.0,0.8955869907338783
23,-1387.5393880208333,1387.5393880208333,0.0,0.8911090557802088
24,-1547.57275390625,1547.57275390625,0.0,0.8866535105013078
25,-1508.7607421874998,1508.7607421874998,0.0,0.8822202429488013
26,-1274.892559448878,1274.892559448878,0.0,0.8778091417340573
27,-1271.8831736246746,1271.8831736246746,0.0,0.8734200960253871
28,-1433.0000000000002,1433.0000000000002,0.0,0.8690529955452602
29,-1520.4496527777774,1520.4496527777774,0.0,0.8647077305675338
30,-1474.3222250268557,1474.3222250268557,0.0,0.8603841919146962
31,-1456.958309746165,1456.958309746165,0.0,0.8560822709551227
32,-1350.197003609604,1350.197003609604,0.0,0.851801859600347
33,-1456.9999999999998,1456.9999999999998,0.0,0.8475428503023453
34,-1510.1250000000005,1510.1250000000005,0.0,0.8433051360508336
35,-1437.969177246094,1437.969177246094,0.0,0.8390886103705794
36,-1312.690633773804,1307.690633773804,5.0,0.8348931673187264
37,-1372.5001729329429,1372.5001729329429,0.0,0.8307187014821328
38,-1527.4011682581013,1527.4011682581013,0.0,0.8265651079747222
39,-1604.2527592976887,1595.2527592976887,9.0,0.8224322824348486
40,-1466.0787037037042,1466.0787037037042,0.0,0.8183201210226743
41,-1183.0140380859375,1183.0140380859375,0.0,0.8142285204175609
42,-1471.0404357910154,1471.0404357910154,0.0,0.810157377815473
43,-1348.03125,1348.03125,0.0,0.8061065909263957
44,-1324.8958333333333,1324.8958333333333,0.0,0.8020760579717637
45,-1235.8541666666667,1235.8541666666667,0.0,0.798065677681905
46,-1554.5407443576387,1554.5407443576387,0.0,0.7940753492934954
47,-1468.9999999999995,1468.9999999999995,0.0,0.7901049725470279
48,-1559.2304356892903,1559.2304356892903,0.0,0.7861544476842928
49,-1303.25,1303.25,0.0,0.7822236754458713
50,-1390.0690336580628,1390.0690336580628,0.0,0.778312557068642
51,-1512.2124709288278,1512.2124709288278,0.0,0.7744209942832988
52,-1484.6721607314223,1484.6721607314223,0.0,0.7705488893118823
53,-1461.75,1461.75,0.0,0.7666961448653229
54,-1504.6249999999998,1504.6249999999998,0.0,0.7628626641409962
55,-1562.3330206557907,1561.3330206557907,1.0,0.7590483508202912
56,-1390.1718750000002,1387.1718750000002,3.0,0.7552531090661897
57,-1507.868917582947,1507.868917582947,0.0,0.7514768435208588
58,-1140.6297174818694,1140.6297174818694,0.0,0.7477194593032545
59,-1481.6250000000005,1481.6250000000005,0.0,0.7439808620067382
60,-1397.6583290801314,1393.6583290801314,4.0,0.7402609576967045
61,-1364.3203124999998,1364.3203124999998,0.0,0.736559652908221
62,-1362.9999999999995,1362.9999999999995,0.0,0.7328768546436799
63,-1500.6533480392613,1500.6533480392613,0.0,0.7292124703704616
64,-1403.46875,1403.46875,0.0,0.7255664080186093
65,-1304.9999999999998,1302.0000000000002,3.0,0.7219385759785162
66,-1321.0000000000002,1321.0000000000002,0.0,0.7183288830986236
67,-1356.2717695236206,1356.2717695236206,0.0,0.7147372386831305
68,-1335.187868754069,1329.187868754069,6.0,0.7111635524897149
69,-1478.9166666666672,1478.9166666666672,0.0,0.7076077347272662
70,-1520.1439893850738,1520.1439893850738,0.0,0.7040696960536299
71,-1568.9999999999998,1568.9999999999998,0.0,0.7005493475733617
72,-1320.8421739316466,1320.8421739316466,0.0,0.697046600835495
73,-1706.7592163085938,1706.7592163085938,0.0,0.6935613678313175
