episode,reward,shortage,wastage,epsilon
1,-1444.1075936776624,1444.1075936776624,0.0,0.995
2,-1494.3612119252866,1494.3612119252866,0.0,0.990025
3,-1636.43851852417,1636.43851852417,0.0,0.985074875
4,-1525.870630296825,1525.870630296825,0.0,0.9801495006250001
5,-1483.817708333333,1483.817708333333,0.0,0.9752487531218751
6,-1500.5163637797034,1500.5163637797034,0.0,0.9703725093562657
7,-1384.235616048177,1383.235616048177,1.0,0.9655206468094844
8,-1271.333333333333,1271.333333333333,0.0,0.960693043575437
9,-1610.3760266716097,1610.3760266716097,0.0,0.9558895783575597
10,-1309.0625,1309.0625,0.0,0.9511101304657719
11,-1398.8593750000005,1398.8593750000005,0.0,0.946354579813443
12,-1605.2500000000002,1605.2500000000002,0.0,0.9416228069143757
13,-1456.5792643229167,1456.5792643229167,0.0,0.9369146928798039
14,-1352.181857638889,1352.181857638889,0.0,0.9322301194154049
15,-1505.2618045806887,1505.2618045806887,0.0,0.9275689688183278
16,-1449.1250000000005,1449.1250000000005,0.0,0.9229311239742362
17,-1344.973563515061,1344.973563515061,0.0,0.918316468354365
18,-1677.4949544270833,1677.4949544270833,0.0,0.9137248860125932
19,-1455.5078124999998,1455.5078124999998,0.0,0.9091562615825302
20,-1430.6712239583337,1430.6712239583337,0.0,0.9046104802746175
21,-1441.8906249999993,1436.8906249999993,5.0,0.9000874278732445
22,-1517.9284312236405,1517.9284312236405,0.0,0.8955869907338783
23,-1506.99951171875,1506.99951171875,0.0,0.8911090557802088
24,-1434.9999999999998,1434.9999999999998,0.0,0.8866535105013078
25,-1290.4493707727502,1290.4493707727502,0.0,0.8822202429488013
26,-1446.7499999999998,1446.7499999999998,0.0,0.8778091417340573
27,-1722.3124999999998,1722.3124999999998,0.0,0.8734200960253871
28,-1551.158072988744,1551.158072988744,0.0,0.8690529955452602
29,-1582.5299580891924,1582.5299580891924,0.0,0.8647077305675338
30,-1540.6823861609653,1540.6823861609653,0.0,0.8603841919146962
31,-1530.815976043114,1530.815976043114,0.0,0.8560822709551227
32,-1593.0022406401572,1593.0022406401572,0.0,0.851801859600347
33,-1536.7669753086416,1536.7669753086416,0.0,0.8475428503023453
34,-1245.2656250000002,1245.2656250000002,0.0,0.8433051360508336
35,-1534.94994212963,1534.94994212963,0.0,0.8390886103705794
36,-1401.1386286964018,1401.1386286964018,0.0,0.8348931673187264
37,-1306.9999999999998,1306.9999999999998,0.0,0.8307187014821328
38,-1523.7291666666672,1523.7291666666672,0.0,0.8265651079747222
39,-1478.6812038756907,1478.6812038756907,0.0,0.8224322824348486
40,-1335.8749999999998,1335.8749999999998,0.0,0.8183201210226743
41,-1547.6757199636704,1547.6757199636704,0.0,0.8142285204175609
42,-1437.0000000000005,1437.0000000000005,0.0,0.810157377815473
43,-1424.0000000000005,1424.0000000000005,0.0,0.8061065909263957
44,-1373.1598749738548,1373.1598749738548,0.0,0.8020760579717637
45,-1273.3190104166667,1273.3190104166667,0.0,0.798065677681905
46,-1551.0000000000002,1551.0000000000002,0.0,0.7940753492934954
47,-1408.0370619945595,1408.0370619945595,0.0,0.7901049725470279
48,-1359.0,1359.0,0.0,0.7861544476842928
49,-1507.0833333333333,1507.0833333333333,0.0,0.7822236754458713
50,-1623.2833658854167,1623.2833658854167,0.0,0.778312557068642
51,-1441.8559232396244,1441.8559232396244,0.0,0.7744209942832988
52,-1481.0,1481.0,0.0,0.7705488893118823
53,-1451.4320591467394,1451.4320591467394,0.0,0.7666961448653229
54,-1458.0929030430168,1458.0929030430168,0.0,0.7628626641409962
55,-1286.9999999999995,1286.9999999999995,0.0,0.7590483508202912
56,-1368.0814503446043,1368.0814503446043,0.0,0.7552531090661897
57,-1584.1510416666667,1584.1510416666667,0.0,0.7514768435208588
58,-1357.4707519213357,1357.4707519213357,0.0,0.7477194593032545
59,-1337.3567866572632,1337.3567866572632,0.0,0.7439808620067382
60,-1431.784973078475,1431.784973078475,0.0,0.7402609576967045
61,-1460.5903853418477,1460.5903853418477,0.0,0.736559652908221
62,-1504.9912791803372,1504.9912791803372,0.0,0.7328768546436799
63,-1461.5,1461.5,0.0,0.7292124703704616
64,-1526.471466064453,1526.471466064453,0.0,0.7255664080186093
65,-1526.9174706729843,1526.9174706729843,0.0,0.7219385759785162
66,-1302.8579915364578,1302.8579915364578,0.0,0.7183288830986236
67,-1664.6640625,1664.6640625,0.0,0.7147372386831305
68,-1439.7138566853084,1439.7138566853084,0.0,0.7111635524897149
69,-1332.702289133896,1332.702289133896,0.0,0.7076077347272662
70,-1359.0,1357.0,2.0,0.7040696960536299
71,-1630.7291666666667,1630.7291666666667,0.0,0.7005493475733617
72,-1310.3655948638916,1310.3655948638916,0.0,0.697046600835495
73,-1273.705712904321,1273.705712904321,0.0,0.6935613678313175
74,-1322.6666666666663,1322.6666666666663,0.0,0.6900935609921609
75,-1604.586888519089,1597.586888519089,7.0,0.6866430931872001
76,-1534.5625000000002,1534.5625000000002,0.0,0.6832098777212641
77,-1232.0,1232.0,0.0,0.6797938283326578
78,-1518.5849688847863,1518.5849688847863,0.0,0.6763948591909945
79,-1510.390625,1510.390625,0.0,0.6730128848950395
80,-1505.25,1505.25,0.0,0.6696478204705644
81,-1672.625788649002,1672.625788649002,0.0,0.6662995813682115
82,-1338.2543190850151,1338.2543190850151,0.0,0.6629680834613705
83,-1407.0,1407.0,0.0,0.6596532430440636
84,-1428.9999999999998,1428.9999999999998,0.0,0.6563549768288433
85,-1573.9999999999995,1573.9999999999995,0.0,0.653073201944699
86,-1427.2554637494743,1427.2554637494743,0.0,0.6498078359349755
87,-1379.9999999999998,1379.9999999999998,0.0,0.6465587967553006
88,-1416.0866970486109,1416.0866970486109,0.0,0.6433260027715241
89,-1362.25,1362.25,0.0,0.6401093727576664
90,-1518.5856229224642,1518.5856229224642,0.0,0.6369088258938781
91,-1400.526900679977,1400.526900679977,0.0,0.6337242817644086
92,-1320.7739016215007,1320.7739016215007,0.0,0.6305556603555866
93,-1333.8124999999998,1333.8124999999998,0.0,0.6274028820538087
94,-1360.9999999999995,1360.9999999999995,0.0,0.6242658676435396
95,-1558.2997685185182,1558.2997685185182,0.0,0.6211445383053219
96,-1422.7499999999995,1422.7499999999995,0.0,0.6180388156137953
97,-1511.0000000000002,1511.0000000000002,0.0,0.6149486215357263
98,-1583.2499999999995,1583.2499999999995,0.0,0.6118738784280476
99,-1488.9375,1488.9375,0.0,0.6088145090359074
100,-1507.2033691406248,1507.2033691406248,0.0,0.6057704364907278
101,-1384.2876240671824,1384.2876240671824,0.0,0.6027415843082742
102,-1417.2329101562502,1417.2329101562502,0.0,0.5997278763867329
103,-1256.2604166666663,1256.2604166666663,0.0,0.5967292370047992
104,-1374.0520884179614,1374.0520884179614,0.0,0.5937455908197752
105,-1460.5881890190967,1460.5881890190967,0.0,0.5907768628656763
106,-1417.791631271442,1417.791631271442,0.0,0.5878229785513479
107,-1474.432834201389,1474.432834201389,0.0,0.5848838636585911
108,-1428.7993827160494,1428.7993827160494,0.0,0.5819594443402982
109,-1433.25,1433.25,0.0,0.5790496471185967
110,-1322.8333333333337,1322.8333333333337,0.0,0.5761543988830038
111,-1331.0,1331.0,0.0,0.5732736268885887
112,-1505.2508850097654,1505.2508850097654,0.0,0.5704072587541458
113,-1371.561116536458,1371.561116536458,0.0,0.567555222460375
114,-1427.08447265625,1427.08447265625,0.0,0.5647174463480732
115,-1609.6011646412028,1609.6011646412028,0.0,0.5618938591163328
116,-1508.0891927083333,1508.0891927083333,0.0,0.5590843898207511
117,-1490.5081922743052,1488.5081922743052,2.0,0.5562889678716474
118,-1467.0151970003858,1467.0151970003858,0.0,0.5535075230322891
119,-1492.2343750000007,1492.2343750000007,0.0,0.5507399854171277
120,-1257.145399305556,1257.145399305556,0.0,0.547986285490042
121,-1251.5000000000002,1251.5000000000002,0.0,0.5452463540625918
122,-1230.9594605999227,1230.9594605999227,0.0,0.5425201222922789
123,-1395.9921875,1395.9921875,0.0,0.5398075216808175
124,-1351.7197300213682,1351.7197300213682,0.0,0.5371084840724134
125,-1426.1783854166667,1426.1783854166667,0.0,0.5344229416520513
126,-1534.2343750000002,1534.2343750000002,0.0,0.531750826943791
127,-1309.4135644700784,1309.4135644700784,0.0,0.5290920728090721
128,-1444.1249999999998,1444.1249999999998,0.0,0.5264466124450268
129,-1430.73359221289,1430.73359221289,0.0,0.5238143793828016
130,-1595.6419756677417,1595.6419756677417,0.0,0.5211953074858876
131,-1343.481848529664,1343.481848529664,0.0,0.5185893309484582
132,-1497.1406250000002,1497.1406250000002,0.0,0.5159963842937159
133,-1418.0000000000007,1418.0000000000007,0.0,0.5134164023722473
134,-1415.4999999999998,1415.4999999999998,0.0,0.510849320360386
135,-1315.465675288779,1315.465675288779,0.0,0.5082950737585841
136,-1515.6458333333333,1515.6458333333333,0.0,0.5057535983897912
137,-1558.509765625,1558.509765625,0.0,0.5032248303978422
138,-1612.603515624999,1612.603515624999,0.0,0.500708706245853
139,-1401.4609375000002,1401.4609375000002,0.0,0.4982051627146237
140,-1462.0348815917966,1462.0348815917966,0.0,0.49571413690105054
141,-1391.0625,1391.0625,0.0,0.4932355662165453
142,-1406.1605460712449,1406.1605460712449,0.0,0.4907693883854626
143,-1162.3724795654414,1162.3724795654414,0.0,0.4883155414435353
144,-1411.717335557782,1411.717335557782,0.0,0.4858739637363176
145,-1452.7008360065058,1452.7008360065058,0.0,0.483444593917636
146,-1560.5937499999995,1560.5937499999995,0.0,0.4810273709480478
147,-1424.7236337359582,1424.7236337359582,0.0,0.47862223409330756
148,-1442.9875488281248,1442.9875488281248,0.0,0.47622912292284103
149,-1302.1212666829429,1302.1212666829429,0.0,0.4738479773082268
150,-1207.8083643030238,1205.8083643030238,2.0,0.47147873742168567
151,-1508.75,1508.75,0.0,0.46912134373457726
152,-1251.515625,1251.515625,0.0,0.46677573701590436
153,-1453.513020833333,1453.513020833333,0.0,0.46444185833082485
154,-1573.5839843750002,1573.5839843750002,0.0,0.46211964903917074
155,-1537.6149908542848,1537.6149908542848,0.0,0.4598090507939749
156,-1562.2500000000007,1562.2500000000007,0.0,0.457510005540005
157,-1391.125,1391.125,0.0,0.45522245551230495
158,-1464.0,1464.0,0.0,0.4529463432347434
159,-1501.4471842447917,1501.4471842447917,0.0,0.4506816115185697
160,-1667.4688573060205,1667.4688573060205,0.0,0.4484282034609769
161,-1420.7500000000002,1420.7500000000002,0.0,0.446186062443672
162,-1286.0000000000007,1286.0000000000007,0.0,0.4439551321314536
163,-1382.342610731566,1382.342610731566,0.0,0.4417353564707963
164,-1329.4593315804775,1329.4593315804775,0.0,0.43952667968844233
165,-1406.2234504527103,1406.2234504527103,0.0,0.43732904629000013
166,-1414.4817708333335,1414.4817708333335,0.0,0.4351424010585501
167,-1438.4111328124998,1438.4111328124998,0.0,0.43296668905325736
168,-1363.0890721342687,1363.0890721342687,0.0,0.43080185560799106
169,-1525.21875,1525.21875,0.0,0.4286478463299511
170,-1389.7135597511576,1389.7135597511576,0.0,0.42650460709830135
171,-1360.369791666667,1360.369791666667,0.0,0.42437208406280985
172,-1428.6489958557802,1428.6489958557802,0.0,0.4222502236424958
173,-1476.9999999999998,1476.9999999999998,0.0,0.42013897252428334
174,-1339.5312500000005,1339.5312500000005,0.0,0.4180382776616619
175,-1723.8188188721738,1723.8188188721738,0.0,0.4159480862733536
176,-1531.0000000000005,1531.0000000000005,0.0,0.41386834584198684
177,-1442.181640625,1442.181640625,0.0,0.4117990041127769
178,-1216.6672295464407,1209.6672295464407,7.0,0.40974000909221303
179,-1220.0000000000002,1220.0000000000002,0.0,0.40769130904675194
180,-1577.9114870583571,1577.9114870583571,0.0,0.40565285250151817
181,-1475.0042480835123,1475.0042480835123,0.0,0.4036245882390106
182,-1482.2499999999998,1482.2499999999998,0.0,0.4016064652978155
183,-1478.5755208333333,1478.5755208333333,0.0,0.3995984329713264
184,-1463.1143261316872,1463.1143261316872,0.0,0.3976004408064698
185,-1401.0983734130862,1401.0983734130862,0.0,0.39561243860243744
186,-1441.875,1441.875,0.0,0.3936343764094253
187,-1400.454549153646,1400.454549153646,0.0,0.39166620452737816
